"X","promenna","p.value","AIC","AICc","BIC","AR","I","MA","lag","sAIC","sAICc","sBIC"
"X2022...2...7.24","cena.nafty",0.0536,350.897409939,351.433295106,374.556691413,3,0,1,"delay","353.647965364173","354.047965364173","373.927349485415"
"X2022...2...7.25","cena.nafty",0.0406,348.800470703,349.336355871,372.459752178,3,0,1,"posun_vpred","351.916685539776","352.316685539776","372.196069661019"
"X2022...2...9.6","cena.nemovitosti",0.0961,351.129099495,351.664984662,374.78838097,3,0,1,"posun_vpred","351.916685539776","352.316685539776","372.196069661019"
"X2022...2...12.1","cena.ropy",0.0877,352.265373718,352.798707052,375.956839158,3,0,1,"regresor","354.237174965548","354.635279230951","374.544145342283"
"X2022...2...14.14","PC1",0.065,351.751756867,352.285090201,375.443222307,3,0,1,"regresor","354.237174965548","354.635279230951","374.544145342283"
"X2022...2...14.15","PC1",0.0665,351.188441912,351.724327079,374.847723386,3,0,1,"delay","353.647965364173","354.047965364173","373.927349485415"
"X2022...2...7.26","cena.nafty",0.0937,352.553110204,353.242105419,379.629070706,3,0,2,"regresor","353.346143062799","353.879476396132","377.037608502322"
"X2022...2...7.27","cena.nafty",0.0943,351.94472789,352.637035583,378.983906719,3,0,2,"delay","352.743186684304","353.279071851769","376.402468159088"
"X2022...2...7.28","cena.nafty",0.0714,350.19178478,350.884092472,377.230963608,3,0,2,"posun_vpred","351.407994547527","351.943879714991","375.06727602231"
"X2022...2...14.16","PC1",0.0881,352.426128566,353.115123781,379.502089068,3,0,2,"regresor","353.346143062799","353.879476396132","377.037608502322"
"X2022...2...14.17","PC1",0.0908,351.874728509,352.567036201,378.913907337,3,0,2,"delay","352.743186684304","353.279071851769","376.402468159088"
"X2022...2...1.7","inflace",0.0829,353.90628394,354.771668556,384.366739505,3,0,3,"regresor","354.981889168522","355.670884383833","382.057849670835"
"X2022...2...1.8","inflace",0.0877,353.355997774,354.225562992,383.775073956,3,0,3,"delay","354.28530346889","354.977611161197","381.324482297213"
"X2022...2...7.29","cena.nafty",0.0664,351.774519849,352.644085066,382.19359603,3,0,3,"posun_vpred","353.217678576357","353.909986268665","380.256857404681"
"X2022...2...14.18","PC1",0.0884,354.064825282,354.930209897,384.525280847,3,0,3,"regresor","354.981889168522","355.670884383833","382.057849670835"
"X2022...2...14.19","PC1",0.0928,353.487002249,354.356567466,383.906078431,3,0,3,"delay","354.28530346889","354.977611161197","381.324482297213"
"X2022...2...9.7","cena.nemovitosti",0.0976,353.848733559,354.250647435,374.100404005,3,1,1,"posun_vpred","354.612365021632","354.898079307347","371.488757060053"
"X2022...2...1.9","inflace",0.0977,355.076454284,355.612339451,378.735735759,3,1,2,"regresor","355.830453876703","356.230453876703","376.109837997946"
"X2022...2...7.30","cena.nafty",0.0439,353.292450748,353.830912287,376.919399602,3,1,2,"posun_vpred","354.316394365295","354.718308240893","374.5680648114"
"X2022...2...1.10","inflace",0.0997,356.240207258,356.93251495,383.279386087,3,1,3,"regresor","357.82803505667","358.363920224134","381.487316531453"
"X2022...2...7.31","cena.nafty",0.0303,354.965115064,355.660767238,381.967342326,3,1,3,"posun_vpred","355.104446949064","355.642908487525","378.731395802853"
"X2","originalni model",NA,432.511398342538,432.618065009204,442.8125643532,1,1,1,"lag","Vojta","je","debil"
"X2023...2...1","inflace",0.0336,430.882226207,431.15008335,448.072622751,1,0,1,"regresor","433.678804224998","433.856582002776","447.431121460691"
"X2023...2...1.1","inflace",0.0317,429.931967975,430.201026271,447.100577993,1,0,1,"delay","432.813463790809","432.99203521938","446.548351805026"
"X2023...2...1.2","inflace",0.0316,432.379637917,432.756319531,453.008113771,1,0,2,"regresor","435.287052712654","435.554909855511","452.47744925727"
"X2023...2...1.3","inflace",0.03,431.437804735,431.816183113,452.040136756,1,0,2,"delay","434.423009958757","434.692068254721","451.591619976528"
"X2023...2...1.4","inflace",0.0632,431.925185149,432.429689654,455.991740311,1,0,3,"regresor","433.606622566035","433.983304180385","454.235098419574"
"X2023...2...1.5","inflace",0.0611,431.030810967,431.537598297,455.066864992,1,0,3,"delay","432.761840483966","433.140218862344","453.364172505291"
"X2023...2...1.6","inflace",0.0273,429.337366246,429.515937674,443.07225426,1,1,1,"regresor","432.511398342538","432.618065009204","442.8125643532"
"X2023...2...1.7","inflace",0.0268,428.427851732,428.607223929,442.145234248,1,1,1,"delay","431.613778904503","431.720921761645","441.901815791366"
"X2023...2...1.8","inflace",0.0354,423.855167611,424.124225907,441.023777629,1,1,2,"regresor","426.573795532476","426.752366961047","440.308683546693"
"X2023...2...1.9","inflace",0.037,423.04646819,423.31673846,440.193196335,1,1,2,"delay","425.680209627053","425.859581824362","439.39759214287"
"X2023...2...1.10","inflace",0.0509,424.093762924,424.472141303,444.696094946,1,1,3,"regresor","426.17665352413","426.445711820094","443.345263541901"
"X2023...2...1.11","inflace",0.0525,423.29386146,423.673951958,443.869935234,1,1,3,"delay","425.320796446199","425.591066716469","442.467524590971"
"X2023...2...1.12","inflace",0.0425,426.825038243,427.329542748,450.891593406,2,0,2,"regresor","429.216113428093","429.592795042442","449.844589281632"
