date,inflace,inflation,prices,cena elektriny,cena plynu,cena zlata,cena nafty,d p  mzda,p mzda,d p plat,p plat,mzda,plat
02/01/2015,21,4,18,0,21,16,6,18,16,22,11,65,51
03/01/2015,23,4,13,2,16,19,5,20,14,18,10,59,52
04/01/2015,20,5,17,3,10,16,3,19,21,19,10,56,51
05/01/2015,26,5,14,1,11,9,5,16,20,13,10,58,51
06/01/2015,21,2,17,1,15,17,5,15,12,21,8,57,51
07/01/2015,11,5,22,1,6,27,6,18,15,17,11,50,49
08/01/2015,10,4,21,0,10,29,7,11,16,24,9,51,51
09/01/2015,15,5,20,4,11,20,5,14,17,18,14,56,59
10/01/2015,15,4,15,1,15,13,5,13,16,19,12,52,55
11/01/2015,20,5,10,4,17,16,3,14,14,22,14,54,58
12/01/2015,22,2,17,2,15,16,5,17,20,19,14,52,48
01/01/2016,25,3,17,3,17,19,5,20,21,23,9,63,61
02/01/2016,19,3,15,2,15,17,5,15,16,18,13,58,57
03/01/2016,19,4,13,2,10,17,5,16,13,21,12,53,54
04/01/2016,22,10,15,0,13,17,5,17,9,20,10,50,53
05/01/2016,24,5,15,2,10,16,3,14,13,17,14,48,58
06/01/2016,15,5,19,2,6,16,6,13,15,21,12,49,61
07/01/2016,7,1,19,1,7,20,6,10,11,15,8,42,49
08/01/2016,8,5,16,3,8,21,5,13,12,13,19,48,58
09/01/2016,13,3,18,2,12,18,3,17,17,26,12,56,62
10/01/2016,13,12,14,2,11,12,3,12,18,13,12,56,61
11/01/2016,16,5,14,1,19,21,2,15,9,15,8,57,57
12/01/2016,14,5,17,2,17,15,3,18,19,16,13,55,51
01/01/2017,30,5,16,2,14,13,4,16,19,22,13,75,68
02/01/2017,18,4,18,3,12,13,3,15,29,21,10,81,64
03/01/2017,25,5,22,2,12,13,4,21,24,20,14,72,63
04/01/2017,18,7,19,1,12,13,3,19,15,25,11,62,58
05/01/2017,21,6,17,1,7,13,3,15,9,17,12,59,58
06/01/2017,17,5,20,2,8,11,5,16,23,21,14,63,67
07/01/2017,6,3,21,0,6,18,6,16,13,21,14,56,57
08/01/2017,10,3,22,2,9,12,5,16,17,19,12,65,64
09/01/2017,14,4,20,2,13,16,5,21,17,29,15,69,75
10/01/2017,19,4,17,2,14,12,3,17,21,24,12,75,70
11/01/2017,18,7,19,3,14,19,3,19,21,22,8,70,64
12/01/2017,18,6,18,2,13,17,2,18,19,12,14,68,51
01/01/2018,27,5,17,0,13,19,3,17,23,24,15,87,74
02/01/2018,21,4,18,0,10,18,3,18,22,19,10,88,68
03/01/2018,15,4,16,2,14,18,3,22,24,19,16,78,69
04/01/2018,17,5,17,2,7,15,4,18,18,17,17,69,58
05/01/2018,22,9,18,2,8,14,5,18,19,15,12,66,61
06/01/2018,16,5,17,2,6,12,8,17,17,19,13,69,65
07/01/2018,10,2,20,3,10,14,6,13,18,17,13,61,65
08/01/2018,9,6,20,2,3,17,6,18,22,22,15,65,70
09/01/2018,13,4,17,2,10,11,4,23,13,21,16,70,70
10/01/2018,15,4,18,2,7,15,5,18,23,18,13,65,73
11/01/2018,18,7,15,3,14,15,5,19,20,23,14,77,65
12/01/2018,18,3,13,3,18,18,5,22,26,17,17,71,57
01/01/2019,24,5,15,1,17,18,5,20,27,25,20,93,70
02/01/2019,20,5,16,1,13,19,5,20,26,18,12,88,66
03/01/2019,19,5,16,2,7,15,3,21,27,23,13,77,67
04/01/2019,21,4,19,1,9,17,3,18,23,17,14,71,58
05/01/2019,21,5,13,2,6,17,4,16,20,18,11,65,63
06/01/2019,15,7,17,2,4,19,5,16,16,20,10,66,58
07/01/2019,9,4,21,1,10,19,6,15,16,18,13,58,55
08/01/2019,12,6,17,1,5,28,5,16,21,20,13,63,58
09/01/2019,17,4,16,1,7,22,4,22,21,20,14,73,67
10/01/2019,18,2,14,2,10,23,3,15,21,19,14,64,62
11/01/2019,20,5,14,1,6,19,3,25,19,35,18,86,72
12/01/2019,22,5,12,1,14,18,3,19,17,20,12,77,53
01/01/2020,35,5,15,2,14,28,4,22,17,25,14,97,70
02/01/2020,25,5,14,3,10,29,4,20,19,18,11,85,67
03/01/2020,23,6,11,1,8,49,11,14,16,13,8,62,49
04/01/2020,24,6,11,1,10,36,10,12,14,12,7,52,50
05/01/2020,25,7,9,2,11,28,6,15,15,18,8,59,54
06/01/2020,21,6,9,2,9,28,6,16,22,19,11,59,55
07/01/2020,13,5,11,1,7,36,5,13,22,21,13,56,61
08/01/2020,15,5,13,2,7,32,5,18,20,21,14,81,65
09/01/2020,20,5,6,1,9,28,4,19,18,18,13,76,65
10/01/2020,18,5,10,1,11,24,2,17,15,17,10,63,61
11/01/2020,20,5,8,2,12,30,3,17,16,18,13,86,61
12/01/2020,20,4,8,0,10,29,2,17,15,19,13,75,56
01/01/2021,40,5,10,3,11,30,3,23,31,24,15,100,70
02/01/2021,27,5,9,1,10,31,3,19,19,16,13,86,64
03/01/2021,31,5,9,2,4,28,2,20,16,21,14,66,61
04/01/2021,26,8,11,2,7,21,3,15,15,21,12,56,58
05/01/2021,34,8,10,3,7,29,3,16,16,22,12,61,69
06/01/2021,27,6,9,2,7,26,4,16,23,22,17,61,61
07/01/2021,15,4,11,3,5,23,6,14,17,23,18,52,62
08/01/2021,22,9,13,3,9,26,6,19,24,26,17,54,70
09/01/2021,40,9,10,3,15,32,3,20,32,27,20,63,75
10/01/2021,46,9,10,11,72,36,8,19,19,25,19,56,72
11/01/2021,56,12,11,7,43,38,4,21,21,19,18,63,67
12/01/2021,48,12,11,6,36,37,6,21,17,23,19,63,62
01/01/2022,100,13,14,6,43,35,6,30,32,34,21,87,91
02/01/2022,80,16,16,5,39,46,14,25,33,32,22,85,80
03/01/2022,66,17,21,6,57,67,100,30,41,35,19,75,75
04/01/2022,77,20,18,6,53,40,26,29,33,34,25,70,80
05/01/2022,90,22,15,4,41,36,19,28,32,32,23,76,73
06/01/2022,78,23,16,6,45,35,27,25,43,32,22,79,80
07/01/2022,65,19,21,6,50,36,26,22,36,30,22,64,77
08/01/2022,52,20,19,16,71,32,30,32,75,36,22,74,83
09/01/2022,58,17,17,17,100,29,22,27,32,31,21,72,90
10/01/2022,57,23,16,9,78,34,24,24,30,33,25,71,100
11/01/2022,65,22,15,9,63,33,23,29,39,35,24,71,81
12/01/2022,63,17,15,8,54,36,22,25,41,34,22,66,77
01/01/2023,91,16,17,7,59,31,15,28,35,33,26,93,98
02/01/2023,71,16,16,7,55,35,17,33,68,37,30,95,97
